tcId,requestMethod,requestPath,requestBody,authMode,expectedStatus,expectedBody,secondaryPath,secondaryMethod,secondaryExpectedStatus,saveCreatedIdAs,cleanupPath,fr15AdminToken,fr15UserToken,fr15ProductAId,fr15ProductBId,fr15CategoryAId,fr15CategoryBId,fr15DisposableProductId,fr15CategoryTempId,fr15ProductTempId,fr15ProductDelId,fr15OrderHistId
FR15-AI-001,POST,/api/products,"{""name"":""HW06-P-001"",""price"":100000,""description"":""Mô tả"",""imageUrl"":""https://example.test/p.png"",""category_id"":10}",admin,201,"{""id"":{""$type"":""number""},""name"":""HW06-P-001"",""price"":100000,""category_id"":10}",,,, fr15CreatedProductId,/api/products/{fr15CreatedProductId},,,6,7,10,11,8,12,9,10,1
FR15-AI-002,POST,/api/products,"{""name"":""M"",""price"":0.01,""category_id"":10}",admin,201,"{""id"":{""$type"":""number""},""name"":""M"",""price"":0.01}",,,, fr15CreatedProductId,/api/products/{fr15CreatedProductId},,,6,7,10,11,8,12,9,10,1
FR15-AI-003,GET,/api/products,,none,200,"{""$type"":""array""}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-004,GET,/api/products/{fr15ProductAId},,none,200,"{""id"":{""$type"":""number""},""name"":{""$type"":""string""},""price"":{""$type"":""number""}}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-005,GET,/api/products?search=HW06-Needle-005,,none,200,"{""$type"":""array"",""$nonEmpty"":true}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-006,GET,/api/products?search=HW06-NO-MATCH-006,,none,200,[],,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-007,GET,/api/products/999999999,,none,404,"{""$type"":""object""}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-008,GET,/api/products/abc,,none,400,"{""$type"":""object""}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-009,PUT,/api/products/{fr15ProductAId},"{""name"":""HW06-Renamed-009""}",admin,200,"{""name"":""HW06-Renamed-009""}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-010,PUT,/api/products/{fr15ProductAId},"{""price"":125000.5}",admin,200,"{""price"":125000.5}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-011,PUT,/api/products/{fr15ProductAId},"{""category_id"":11}",admin,200,"{""category_id"":11}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-012,PUT,/api/products/{fr15ProductAId},"{""description"":null,""imageUrl"":""\\""}""",admin,200,"{""$type"":""object""}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-013,PUT,/api/products/{fr15ProductAId},"{""name"":""HW06-Full-013"",""price"":99000,""description"":""D13"",""imageUrl"":""https://example.test/img.png"",""category_id"":11}",admin,200,"{""name"":""HW06-Full-013"",""price"":99000,""category_id"":11}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-014,DELETE,/api/products/{fr15DisposableProductId},,admin,200,"{""$type"":""object""}",/api/products/{fr15DisposableProductId},GET,404,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-015,DELETE,/api/products/999999999,,admin,404,"{""$type"":""object""}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-016,DELETE,/api/products/{fr15DisposableProductId},,admin,200,"{""$type"":""object""}",/api/products/{fr15DisposableProductId},DELETE,404,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-017,POST,/api/products,"{""price"":100,""category_id"":10}",admin,400,"{""$type"":""object""}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-018,POST,/api/products,"{""name"":null,""price"":100,""category_id"":10}",admin,400,"{""$type"":""object""}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-019,POST,/api/products,"{""name"":""\"""",""price"":100,""category_id"":10}",admin,400,"{""$type"":""object""}",,,,,,,,6,7,10,11,8,12,9,10,1
FR15-AI-020,POST,/api/products,"{""name"":""   "",""price"":100,""category_id"":10}",admin,400,"{""$type"":""object""}",,,,,,,,6,7,10,11,8,12,9,10,1
